samples,class
0.10990302046485378,1.0
0.5170464541767363,1.0
0.06326448831373543,1.0
0.5876208649974398,1.0
0.10878156194878763,1.0
0.25028372451337155,1.0
0.3585670651503229,1.0
0.1875782864256803,1.0
0.44300986276691345,1.0
0.08644366795059544,1.0
0.3915545162570603,1.0
0.11769485004956382,1.0
0.1471375992713575,1.0
0.619879033650887,1.0
0.16801720622373673,1.0
0.6834778731873907,1.0
0.5454241253837072,1.0
0.3453959614267721,1.0
0.22292567920769424,1.0
0.13418806019688367,1.0
0.6716816582935656,1.0
0.039046924086784895,1.0
0.36619835541449897,1.0
0.7631224144413165,1.0
0.26226027570504495,1.0
0.21806849612053691,1.0
0.6230798245535051,1.0
0.2271319406100183,1.0
0.04827348961954647,1.0
0.6716787440757317,1.0
0.17404572135470486,1.0
0.1700375677874877,1.0
0.3912272916035273,1.0
0.7334088814702441,1.0
0.04613691068701997,1.0
0.24956658616914595,1.0
0.37234116707642684,1.0
0.15997657851400837,1.0
0.047046674422951074,1.0
0.13474563006354,1.0
0.23732795037428134,1.0
0.16487077985169474,1.0
0.06965336482738393,1.0
0.5159458710217824,1.0
0.08627448385774383,1.0
0.8302088261663346,1.0
0.7184682371498201,1.0
0.26069608649455067,1.0
0.042472024319149204,1.0
0.03723059835901654,1.0
0.3441398883057788,1.0
0.3947857207090497,1.0
0.3118511652258579,1.0
0.43470022032724065,1.0
0.7848585141951353,1.0
0.26832599238772203,1.0
0.14081584504711553,1.0
0.6547957497283711,1.0
0.2895263264095279,1.0
0.29742600387517937,1.0
0.26543312999433355,1.0
0.5071366794925822,1.0
0.08041570660290476,1.0
0.09502927485759338,1.0
0.5499906919740242,1.0
0.34504197197878717,1.0
0.3057529033967611,1.0
0.5233741661654719,1.0
0.047833042464078046,1.0
0.4138077370397376,1.0
0.6307165259269634,1.0
0.2780155278591945,1.0
0.2787609437614139,1.0
0.2514320041999347,1.0
0.2768606522122349,1.0
0.9237163231200365,1.0
0.3643080959910061,1.0
0.5073473560901904,1.0
0.4717728346609521,1.0
0.18680876664235324,1.0
0.06302765782670361,1.0
0.06401540410410267,1.0
0.012222606073175712,1.0
0.12415810360156465,1.0
0.02587365916186224,1.0
0.07640831444992191,1.0
0.4973263953471443,1.0
0.4623826292529081,1.0
0.2398301715385549,1.0
0.6298941389391178,1.0
0.37427907575322183,1.0
0.12094029561416808,1.0
0.5244706856296674,1.0
0.4863223650065702,1.0
0.19791184417817942,1.0
0.07806691257449416,1.0
0.14008310122549172,1.0
0.34184097966923543,1.0
0.11426396528919736,1.0
0.011332198143429228,1.0
0.05744933718009437,1.0
0.13265358718413411,1.0
0.75516671554713,1.0
0.5559617004036854,1.0
0.02100769225312049,1.0
0.7245324340024374,1.0
0.10497740645273868,1.0
0.6146544716681106,1.0
0.1471567073191844,1.0
0.7732759443249608,1.0
0.4565760527195333,1.0
0.12468955716244878,1.0
0.2902000190969065,1.0
0.20118046023393488,1.0
0.08222038006841503,1.0
0.04108061780971195,1.0
0.39850740502277127,1.0
0.14784346219194855,1.0
0.020887876296982633,1.0
0.3762697497264401,1.0
0.08561960990374662,1.0
0.3196153687743074,1.0
0.2230281276012086,1.0
0.1458609606235587,1.0
0.5663771646087918,1.0
0.45457545378826036,1.0
0.3802878464403552,1.0
0.3817509933421275,1.0
0.12276726838262064,1.0
0.17779434018242868,1.0
0.0363698491428216,1.0
0.4330135893321494,1.0
0.7520157265339521,1.0
0.5951372597692457,1.0
0.05185053218496727,1.0
0.3477344384317991,1.0
0.0413869474178441,1.0
0.2037230369568751,1.0
0.06075006291542551,1.0
0.18607240040502426,1.0
0.1267498215895928,1.0
0.0115513703248038,1.0
0.045011050863746016,1.0
0.0344621477324758,1.0
0.07113402219952503,1.0
0.006579105650635686,1.0
0.11537485987443175,1.0
0.12853381998414826,1.0
0.25350219946823627,1.0
0.0214111406560602,1.0
0.07419213087396048,1.0
0.08803473918914351,1.0
0.613962530170656,1.0
0.5092841131040895,1.0
0.20339265938573547,1.0
0.1846638375515811,1.0
0.30392438345794603,1.0
0.5620474468938238,1.0
0.8201404107326782,1.0
0.27343735497105603,1.0
0.20931020443981052,1.0
0.054258052151297864,1.0
0.7873520228816817,1.0
0.3741581251304207,1.0
0.8007431889683114,1.0
0.39098302133006435,1.0
0.7269754775723853,1.0
0.09159342858593678,1.0
0.6410501420858324,1.0
0.40756487632462135,1.0
0.2647945885334798,1.0
0.290134164255088,1.0
0.4404059606797499,1.0
0.07656399016932569,1.0
0.495490478292147,1.0
0.5739368058527565,1.0
0.593186095902415,1.0
0.13738303999988022,1.0
0.50000299459043,1.0
0.6605136576763341,1.0
0.777058485900401,1.0
0.19033727732242356,1.0
0.6698793030928072,1.0
0.1590689287683239,1.0
0.6288118628954378,1.0
0.008661131573604264,1.0
0.38541774090728176,1.0
0.35233191505655514,1.0
0.2542165250630044,1.0
0.3200184309273735,1.0
0.5202785000836183,1.0
0.4863089367439425,1.0
0.7097772569731947,1.0
0.2446458573544581,1.0
0.34786481048880347,1.0
0.4742961914791971,1.0
0.13612044984598026,1.0
0.32405185119845736,1.0
0.16239388784371356,1.0
0.41985951194943283,1.0
0.16238869009088575,1.0
0.15831167519715128,1.0
0.8739838402817893,1.0
0.6883992066518283,1.0
0.0034686910896876144,1.0
0.023754398759223805,1.0
0.8175035164896813,1.0
0.009706434829942268,1.0
0.6639476878643843,1.0
0.2868538276733391,1.0
0.6361408067063048,1.0
0.31991425872058765,1.0
0.4995807489466568,1.0
0.41641277518858677,1.0
0.7841716862253467,1.0
0.2482293264064025,1.0
0.42055024038084565,1.0
0.5678858050652202,1.0
0.1506991518252121,1.0
0.2244390555707685,1.0
0.24308938565713822,1.0
0.27621196567303186,1.0
0.19074823164237054,1.0
0.1436616666392233,1.0
0.5469971385292024,1.0
0.5595589062195686,1.0
0.23639091433491233,1.0
0.12317084817263102,1.0
0.5516898524407997,1.0
0.7374855165741845,1.0
0.08877525668531305,1.0
0.25698287543201337,1.0
0.30423851904647237,1.0
0.28028505316013286,1.0
0.36054552222640046,1.0
0.04090068493662158,1.0
0.2541185634995504,1.0
0.5534594007957698,1.0
0.2889644918819173,1.0
0.7408588208382021,1.0
0.9309949332635673,1.0
0.040571773642879005,1.0
0.3999705262421046,1.0
0.41061089396044836,1.0
0.12817689422994383,1.0
0.1681767597986792,1.0
